Id,Date,University,Degree,Country,City,Do you understand that this is a paid course ?...3,Course Fee Email,Payment,Payment Receipt Sent,How did you hear about this course?,Gender,Age,Are you currently attending University / College?,Have you taken any foundational course in data science / econometrics / statistics / computer science?,"What programming language(s) are you most comfortable in (R, Python, Java, JS, etc.)? If none please type ""None"".",Prior Work Experience in Data Science or Machine Learning,Primary Reason for taking this course?,Do you understand that this is a paid course ?...21,"Prior Formal Education (course teaching or using R, university assignments, coding projects, course work, etc.) in R?","Prior Formal Education (course teaching or using Python, university assignments, coding projects, course work, etc.) in Python?",Prior Work Experience in R.,Prior Work Experience in Python.,"Personal Education or Knowledge (learning R on your own and/or doing personal projects, etc.) in R?",Do you have a LinkedIn Account?,"Do you have any feedback, thoughts, or comments you would like to share?",Latest Degree Completed or in Progress?
53,8/22/2022,IBA,Data Sciences,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,24,Yes,None of them,None,Beginner (0 Years),Learning about Data Science,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),none,none,Masters
54,8/22/2022,IQRA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,No,Computer Science,Python,Beginner (0 Years),I am planning to do masters in data science so before I enrolled in Masters this course would be beneficial for me to enhance my skills,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),None,NA,Bachelors
55,8/22/2022,IQRA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,Yes,Computer Science,"Js, Java",Beginner (0 Years),I want constantly learn new technologies,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,Na,Bachelors
56,8/22/2022,IBA,Accounting and Finance,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,22,Yes,Statisitics,Python,Beginner (0 Years),Would love to learn and diverse my knowledge,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),None,None,H.S.C
57,8/22/2022,IQRA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,26,No,Computer Science,None,Beginner (0 Years),Learning,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
58,8/22/2022,IBA,Accounting and Finance,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,No,Statisitics,None,Beginner (0 Years),To get more skills,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
59,8/22/2022,IQRA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,24,No,Computer Science,Python,Beginner (0 Years),I wanna learn python,No,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Intermediate (2-3 Years),TRUE,No,Bachelors
60,8/22/2022,IBA,Economics,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,24,Yes,Econometrics,Python,Beginner (0 Years),Enhance my coding skills for programming and gain experience to get a decent job in  IT sector.,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
61,8/22/2022,IBA,Bs EM,Pakistan,Karachi,Yes,Sent,Pending,NA,Linkedin,Male,20,Yes,All of them,"Python, java",Intermediate (2-3 Years),To gain real skill and market exposure,Yes,Intermediate (2-3 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Learner (1 Year or Less),None,NA,Bachelors
62,8/22/2022,IQRA,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,25,No,None of them,java,Beginner (0 Years),Want to learn,No,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,No,Bachelors
63,8/22/2022,IBA,Mathematics,Pakistan,Gilgit,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,21,No,All of them,R and python,Learner (1 Year or Less),Enhace my knowledge about data science and improving myjob prospects,No,Intermediate (2-3 Years),Learner (1 Year or Less),Intermediate (2-3 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,What is the criteria for getting a financial aid to complete the course?,Masters
64,8/25/2022,IBA,Compute Science,Pakistan,Karachi,No,Sent,Paid,Yes,"Social Media (Facebook, Whatsapp etc)",Female,31,No,Computer Science,Python,Learner (1 Year or Less),Hands-on practical learning,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),TRUE,NA,Bachelors
65,8/22/2022,KU,BS Software Engineering,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,Yes,All of them,Python,Learner (1 Year or Less),For career development,Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),TRUE,NA,Bachelors
66,8/22/2022,Baqai medical University,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,Other,Male,25,Yes,Data Science,C sharp,Beginner (0 Years),field already software side,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,Yes,Bachelors
