Id,Date,University,Degree,Country,City,Do you understand that this is a paid course ?...3,Course Fee Email,Payment,Payment Receipt Sent,How did you hear about this course?,Gender,Age,Are you currently attending University / College?,Have you taken any foundational course in data science / econometrics / statistics / computer science?,"What programming language(s) are you most comfortable in (R, Python, Java, JS, etc.)? If none please type ""None"".",Prior Work Experience in Data Science or Machine Learning,Primary Reason for taking this course?,Do you understand that this is a paid course ?...21,"Prior Formal Education (course teaching or using R, university assignments, coding projects, course work, etc.) in R?","Prior Formal Education (course teaching or using Python, university assignments, coding projects, course work, etc.) in Python?",Prior Work Experience in R.,Prior Work Experience in Python.,"Personal Education or Knowledge (learning R on your own and/or doing personal projects, etc.) in R?",Do you have a LinkedIn Account?,"Do you have any feedback, thoughts, or comments you would like to share?",Latest Degree Completed or in Progress?
107,8/22/2022,SirSyed,Compute Science,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,24,No,Computer Science,Java or js,Beginner (0 Years),To gain knowledge,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
108,8/22/2022,SirSyed,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,22,Yes,Econometrics,Python,Beginner (0 Years),My love for data and its application in our normal and professional life,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),None,No,Bachelors
109,8/22/2022,NED,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Female,33,Yes,Computer Science,"Python,c#",Learner (1 Year or Less),It will help me in pursing my phd degree,No,Advanced (4+),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,PhD
110,8/22/2022,SSUET,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,25,No,Computer Science,Python,Beginner (0 Years),Build and Enhance skills and Experience in Data Science,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,Good Work,Bachelors
111,8/23/2022,IQRA,BS Software Engineering,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,No,Data Science,"Python, Java",Beginner (0 Years),Want to learn more about Data Science and persuemy carrier in data science,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
112,8/23/2022,SirSyed,BS Software Engineering,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,22,Yes,Statisitics,"Java, python, c",Beginner (0 Years),To gain more knowledge and broaden my horizon.,Yes,Intermediate (2-3 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),None,NA,Bachelors
113,8/23/2022,SirSyed,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,Yes,Statisitics,"Java,python",Learner (1 Year or Less),I am willing to develop advance application,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,None,Bachelors
114,8/23/2022,IBA,Business Administration,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,25,Yes,None of them,None,Beginner (0 Years),Want to learn about it.,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Masters
115,8/23/2022,SirSyed,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,"University Forums (Alumni,Senior, Career forums)",Female,22,Yes,All of them,"Python, Java, JS, HTML, CSS",Beginner (0 Years),I just want to learn data science in a flow.,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,Currently nothing,Bachelors
116,8/23/2022,SSUET,BS Software Engineering,Pakistan,Not Specified,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,21,Yes,None of them,"HTML 5, Java, python",Beginner (0 Years),To learn and grow more in AI industry.,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,I want this internship!,Bachelors
117,8/23/2022,IQRA,Business Administration,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,22,Yes,Statisitics,Python,Beginner (0 Years),To learn Data Science,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),None,No,Bachelors
118,8/23/2022,NED,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,"University Forums (Alumni,Senior, Career forums)",Male,21,Yes,Data Science,Python,Learner (1 Year or Less),Experience,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),None,-,H.S.C
119,8/23/2022,IQRA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,22,Yes,Computer Science,"JavaScript, Python",Beginner (0 Years),Interested in this field,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,No,Bachelors
120,8/23/2022,SirSyed,Bachelor's in Bioinformatics,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,22,No,All of them,Python and linux,Learner (1 Year or Less),Because I have completed my bachelor's in Bioinformatics which is about data science and machine learning,Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Advanced (4+),Beginner (0 Years),TRUE,I am interested in this training,Bachelors
121,8/23/2022,IQRA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Teacher,Female,26,No,Computer Science,Java,Beginner (0 Years),Interested,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,Excited,Bachelors
122,8/23/2022,Aptech Institute,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,25,No,Computer Science,None,Beginner (0 Years),To start a career in machine learning,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,No,H.S.C
123,8/31/2022,IBA,Economics,Pakistan,Karachi,NA,Sent,Paid,NA,Other,Male,25,Yes,Econometrics,None,Beginner (0 Years),Enter the field of data science,Yes,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),TRUE,NA,Bachelors
124,8/23/2022,NED,Data Sciences,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,24,Yes,Data Science,Python,Beginner (0 Years),To learn  and get skills and experience,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,..,Masters
125,8/23/2022,IBA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,"University Forums (Alumni,Senior, Career forums)",Male,21,Yes,Computer Science,Java,Beginner (0 Years),I am interested in data sciences,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
126,8/23/2022,SirSyed,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,21,Yes,All of them,Python,Beginner (0 Years),To enhance old and develop new skills and to Practice it professionally,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,I see this course as a good opportunity for beginners,Bachelors
127,8/23/2022,IBA,Business Administration,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,21,Yes,Data Science,None,Learner (1 Year or Less),I aspire to become a data analyst and possibly a data scientist though that seems a stretch being a BBA student,Yes,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Learner (1 Year or Less),TRUE,NA,H.S.C
128,8/23/2022,NED,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,Linkedin,Male,22,Yes,Statisitics,JS,Beginner (0 Years),Learning and exploring Data Science,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,None,Bachelors
129,8/23/2022,KU,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,25,No,Computer Science,JavaScript,Beginner (0 Years),Want to take a new road map for learning different categories,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Learner (1 Year or Less),TRUE,NA,Bachelors
130,8/23/2022,IQRA,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,From a Teacher,Female,24,No,Statisitics,None,Beginner (0 Years),To learn new skills.,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
131,8/23/2022,KU,M.sc In GIS,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,24,Yes,Data Science,Python,Beginner (0 Years),For job,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),None,It's interesting,Bachelors
132,8/23/2022,IBA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,20,Yes,All of them,"Python, SQL, Java",Beginner (0 Years),"I want to become a machine learning engineer in the future. I hope this course will be a great facilitator for me to achieve my career goal. Furthermore, I hope to land an internship opportunity at Cube Statistical after this course.",No,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
133,8/23/2022,SirSyed,BSIT,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,22,No,Computer Science,None,Learner (1 Year or Less),To establish my skills,No,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
134,8/23/2022,IBA,Economics,Pakistan,Karachi,Yes,sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,21,Yes,Data Science,Python,Learner (1 Year or Less),I have recently discovered my interest in the data science and I would like to build my skillset using these softwares that are crucial in the world of big data.,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
135,8/24/2022,"University of Leeds , united Kingdom",MA Human Resource Management,Canada,Oakville,Yes,Sent,Paid,Yes,Other,Female,36,No,None of them,None,Beginner (0 Years),To learn more about Data science,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,Looking forward to the learning session,Masters
136,8/29/2022,QU,Compute Science,Pakistan,Islamabad,Yes,Sent,Paid,Yes,From a Friend,Female,21,No,Statisitics,A little bit of R,Learner (1 Year or Less),I want to. Be a data analyst so I wanna begin from somewhere,Yes,Learner (1 Year or Less),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Beginner (0 Years),TRUE,I wanna learn more and more from this course.,Masters
137,8/24/2022,SMIU,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,22,Yes,Computer Science,None,Beginner (0 Years),To learn,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,Students really need these type of platform where they learn about their field you're really doing great job. Thanks,Bachelors
138,8/28/2022,Hamdard University,Electrical Engineering,Pakistan,Karachi,no,Sent,Paid,Yes,"Social Media (Facebook, Whatsapp etc)",Male,33,Yes,Data Science,Python,Beginner (0 Years),Moving to my career,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,I would like to also learn R,Bachelors
139,8/24/2022,PUCIT,BS Software Engineering,Pakistan,LAHORE,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,22,Yes,Computer Science,PYTHON,Beginner (0 Years),I WANT TO KNOW MORE ABOUT DATA SCIENCE,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
140,8/24/2022,IBA,Economics,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,22,Yes,All of them,"Python, SQL",Beginner (0 Years),I had fundamental Foundations of Data Sciences and Econometrics courses and this field really sparks my interest.,Yes,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),TRUE,NA,Bachelors
141,8/25/2022,QU,Statistics,Pakistan,Islamabad,Yes,Sent,Paid,Yes,From a Friend,Male,23,Yes,Statisitics,R,Learner (1 Year or Less),I want to improve my Skills and Knowledge and looking forward to working in the field of Data Science,Yes,Learner (1 Year or Less),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Learner (1 Year or Less),TRUE,NA,H.S.C
142,8/24/2022,IBA,BSAF,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,20,Yes,Statisitics,None,Beginner (0 Years),I want to explore and learn about data science,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
143,8/20/2022,Ryerson,Business Technology Management,NA,NA,Yes,Sent,Paid,Yes,Cube Statiistica Employee,Male,48,No,Data Science,R,Learner (1 Year or Less),Would like a new job/career,Yes,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),NA,None,Bachelors
144,8/24/2022,KU,Statistics,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,22,Yes,Statisitics,R,Beginner (0 Years),Learn something new.,No,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Learner (1 Year or Less),None,NA,Bachelors
145,8/24/2022,NED,Industrial Chemistry,Pakistan,Karachi,Yes,Sent,Pending,NA,From a Friend,Male,20,Yes,None of them,None,Beginner (0 Years),To earn money,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),None,I think that this is a perfect opportunity for me to learn this course and then make it beneficial for me.,H.S.C
146,8/24/2022,QU,Statistics,Pakistan,Islamabad,Yes,Sent,Paid,Yes,Linkedin,Male,22,Yes,All of them,R Programming Language,Learner (1 Year or Less),To enhance in the field of Software Development.,Yes,Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),TRUE,Thank you :),Bachelors
147,8/24/2022,IBA,Compute Science,Pakistan,Karachi,Yes,Sent,Maybe,NA,"Social Media (Facebook, Whatsapp etc)",Female,23,No,Computer Science,JS Java & Python,Beginner (0 Years),Interested in data science,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),None,NA,Bachelors
148,8/24/2022,Colorado State University Global Campus,MS Data Analytics,United States,Denver,Yes,Sent,Maybe,NA,Linkedin,Male,29,No,Data Science,"R, Python",Learner (1 Year or Less),To work as Junior data scientist,Yes,Intermediate (2-3 Years),Intermediate (2-3 Years),Some (1 Year or Less),Some (1 Year or Less),Intermediate (2-3 Years),TRUE,Is this a free course ?,Masters
149,8/24/2022,IBA,Accounting and Finance,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,21,Yes,Statisitics,None,Beginner (0 Years),Want to get into the Data Science field,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),None,NA,H.S.C
150,8/24/2022,NED,Compute Science,Pakistan,Karachi,Yes,Sent,Pending,NA,Linkedin,Male,21,Yes,All of them,"Python, R",Learner (1 Year or Less),To get my basics strong and improve myself in this vast field.,Yes,Beginner (0 Years),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
151,8/24/2022,IBA,Accounting and Finance,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,21,Yes,Statisitics,Python,Beginner (0 Years),Passion,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
152,8/24/2022,IBA,BSACF,Pakistan,Karachi,Yes,Sent,Maybe,NA,From a Friend,Male,18,Yes,Statisitics,none,Beginner (0 Years),"To develop my knowledge in this field. Not only is this field interesting, but it can be integrated with any line of work and would help me get an edge over my peers by the time i graduate.",Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,H.S.C
153,8/25/2022,LUMS,Management Sciences,Pakistan,Sialkot,Yes,Sent,Paid,Yes,"Social Media (Facebook, Whatsapp etc)",Female,23,No,None of them,None,Beginner (0 Years),Transition to tech,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
154,8/27/2022,QU,BS,Pakistan,Islamabad,Yes,Sent,Paid,Yes,From a Friend,Male,21,Yes,Statisitics,R,Learner (1 Year or Less),This is helpful for building my future,Yes,Learner (1 Year or Less),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Learner (1 Year or Less),TRUE,This we helpful for every students who is nit able to learn from abroad universities.,Bachelors
155,8/27/2022,University of Calgary,Electrical Engineering,Canada,Calgary,Yes,Sent,Paid,Yes,From a Friend,Female,35,No,None of them,None,Beginner (0 Years),To pursue career in data science,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),None,NA,Masters
156,8/25/2022,IBA,Compute Science,Pakistan,Karachi,Yes,Sent,Pending,NA,From a Teacher,Male,21,Yes,Computer Science,Java,Beginner (0 Years),#NAME?,Yes,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Learner (1 Year or Less),TRUE,NA,H.S.C
157,8/25/2022,IBA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,20,Yes,Computer Science,Java and Python,Beginner (0 Years),"I want to opt a career in Data Science, so I want to maximum utilization from the course",No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,Nope,Bachelors
158,8/25/2022,IBA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,21,Yes,Computer Science,"Python, Java, Javascript",Beginner (0 Years),Job Prospects,No,Beginner (0 Years),Advanced (4+),None (0 Years),Advanced (4+),Beginner (0 Years),TRUE,None,H.S.C
159,8/25/2022,IBA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,22,Yes,Data Science,Python,Learner (1 Year or Less),Interested in Data science,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
160,8/25/2022,IBA,Compute Science,Pakistan,Karachi,Yes,Sent,Pending,NA,From a Friend,Male,19,Yes,Computer Science,"Java, Phyton, JS",Beginner (0 Years),"The feild of data science really intrigues me, I have been fascinated by statistics my whole life and when I heard that there was a feild where we could understand data more effectively than a normal human, I was surprised but very much interested too.",Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,H.S.C
161,8/25/2022,IBA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,"University Forums (Alumni,Senior, Career forums)",Male,21,Yes,Computer Science,Python and Java,Beginner (0 Years),Good Hold in Mathematics and always felt attracted towards Artificial Intelligence courses,No,Beginner (0 Years),Intermediate (2-3 Years),Some (1 Year or Less),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
162,8/25/2022,IBA,Compute Science,Pakistan,Karachi,Yes,Sent,Maybe,NA,From a Friend,Female,20,Yes,Statisitics,Python and java,Beginner (0 Years),I would want to pursue a career in this field,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
163,8/24/2022,SZABIST,Compute Science,Pakistan,Karachi,Yes,Sent,Paid,Yes,Cube Statiistica Employee,Male,22,Yes,Computer Science,Java,Beginner (0 Years),For skill development,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),None,I just want to say thank you for this great opportunity for those students who are studying in university and side by side in islamic school,Bachelors
164,8/25/2022,IBA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Female,20,Yes,Computer Science,None,Beginner (0 Years),"i really wanted to study about data,but wouldn't find the platform which from beginning. I did foundation python programming course from data camp and it was a good experience. Now i wanted to explore more platforms that can teach from beginning about data.",No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),None,"I am a CS student but i haven't really good experience in programing, am i still eligible?",Bachelors
165,8/25/2022,Mehran University of Engineering,BS Software Engineering,Saudi Arabia,Jeddah,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,37,No,Data Science,Python,Beginner (0 Years),Interest in Data Science/Machine Learning,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
166,8/25/2022,IBA,Compute Science,Pakistan,Karachi,Yes,Sent,Pending,NA,From a Friend,Male,22,Yes,Statisitics,Java,Learner (1 Year or Less),Keen interest in data science,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
167,8/25/2022,NED,BE in Petroleum Engineering,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,22,No,Data Science,Python,Learner (1 Year or Less),Learn data science skills to contribute in oil and gas sector,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,no,Bachelors
168,8/25/2022,IBA,Accounting and Finance,Pakistan,Karachi,Yes,Sent,Paid,Yes,"Social Media (Facebook, Whatsapp etc)",Male,24,No,Statisitics,Python,Intermediate (2-3 Years),More practicial experience with R programming and opportunity to get an internship at the end of the course,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),None,The cost of the course should be advertised front and centre.,Bachelors
169,8/25/2022,IBA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Prefer not to say,20,Yes,Computer Science,Python,Learner (1 Year or Less),Experience,No,Intermediate (2-3 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Learner (1 Year or Less),None,NA,Bachelors
170,8/25/2022,IBA,Compute Science,Pakistan,Karachi,Yes,Sent,Pending,NA,"University Forums (Alumni,Senior, Career forums)",Male,21,Yes,All of them,"Java,Python",Learner (1 Year or Less),Data Science and machine learning is basically my field of interest and this is what I would love to explore in the future. I see myself having a career in this filed thus this course will help me learn about this feild.,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,H.S.C
171,8/25/2022,IBA,Compute Science,Pakistan,Karachi,Yes,Sent,Pending,NA,"University Forums (Alumni,Senior, Career forums)",Male,23,Yes,Computer Science,Python and Java,Beginner (0 Years),Learn skills and add value,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,None,Bachelors
172,8/25/2022,IQRA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,23,Yes,Data Science,python,Learner (1 Year or Less),improve our skills in data science,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,is it onsite or online training program,Bachelors
173,8/25/2022,IBA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,21,Yes,All of them,Java,Beginner (0 Years),Because I want to excel in this field and want to train myself to become the best,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
174,8/25/2022,IBA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,Other,Male,23,Yes,Computer Science,Python,Learner (1 Year or Less),I want to enhance my data science and machine learning skills .So I would ready to work as Data Scientist,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),TRUE,NA,Bachelors
175,8/25/2022,IBA,Economics,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,20,Yes,All of them,Python,Beginner (0 Years),I am enthusiastic about data science and an opportunity like this is very appealing to me.,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),None,I am very excited for this oppurtunity and would like to thank its responsible people from the bottom of my heart.,Bachelors
176,8/25/2022,IBA,Economics,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,21,Yes,All of them,Python,Beginner (0 Years),To improve my analytical skills using different softwares,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,I hope it will be free of course,Bachelors
177,8/25/2022,IBA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,Linkedin,Male,20,Yes,Statisitics,Python and R,Learner (1 Year or Less),It seems a great opportunity to dive into the world of data science,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
178,8/25/2022,IBA,Economics,Pakistan,Karachi,No,Sent,Pending,NA,"Other Internet forums (e.g Datacamp, Kaggle) ",Female,21,Yes,Data Science,Python,Beginner (0 Years),Want to learn and doing my minors in data science,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,My interest Data science and and python have always fascinated me to learn more and more. I am excited to be part of the field and always try to learn more .,Bachelors
179,8/25/2022,IBA,Economic and Mathematics,Canada,Ottawa,Yes,Sent,Pending,NA,From a Friend,Male,26,No,Statisitics,Python,Beginner (0 Years),Career Opportunities,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
180,8/25/2022,IBA,Economics,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,19,Yes,All of them,Python,Beginner (0 Years),I want to couple my python programming skills with the Data Science skills so that I could pursue this as a career as I move forward.,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
181,8/25/2022,IQRA,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,25,No,Computer Science,Python,Learner (1 Year or Less),Learning,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),None,NA,Bachelors
182,8/25/2022,IBA,Economics,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,22,Yes,All of them,"Python, R, STATA and SQL",Learner (1 Year or Less),Interest in polishing data analytics skills further as it aligns with my career goals,Yes,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),TRUE,None,Bachelors
183,8/25/2022,IBA,Compute Science,Pakistan,Karachi,Yes,Sent,Pending,NA,From a Friend,Male,21,Yes,Computer Science,Java,Beginner (0 Years),Learn new things,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
